gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000039450	ENSMUSG00000039450	Dcxr	11	120616225	120618107	-	1144	protein_coding	dicarbonyl L-xylulose reductase [Source:MGI Symbol;Acc:MGI:1915130]	-2.06983963078115	2.65306881859946	-7.58622414759013	0.0000382988694593399	0.0168052769666576	2.23176530419386
ENSMUSG00000063524	ENSMUSG00000063524	Eno1	4	150321178	150333336	+	5379	protein_coding	enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]	0.492087507475089	10.3123915872093	7.58612796655637	0.0000383026255650316	0.0168052769666576	2.6867466130432
ENSMUSG00000048458	ENSMUSG00000048458	Inka2	3	105611915	105628158	+	4781	protein_coding	inka box actin regulator 2 [Source:MGI Symbol;Acc:MGI:1923497]	-1.49352733625073	1.30223903986344	-7.43266604393793	0.0000448448391218782	0.0181621598443607	1.92672698044638
ENSMUSG00000030036	ENSMUSG00000030036	Mogs	6	83092477	83095879	+	2892	protein_coding	mannosyl-oligosaccharide glucosidase [Source:MGI Symbol;Acc:MGI:1929872]	0.811247067493334	6.45901680672312	7.30804792066693	0.0000510637836938653	0.0192036300820143	2.46912202250729
ENSMUSG00000029430	ENSMUSG00000029430	Ran	5	129097133	129101387	+	2646	protein_coding	RAN, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1333112]	0.470825666812968	9.5204012595863	7.17924381383024	0.000058501499859733	0.0200496999696443	2.26248254716562
ENSMUSG00000051695	ENSMUSG00000051695	Pcbp1	6	86501474	86503303	-	1830	protein_coding	poly(rC) binding protein 1 [Source:MGI Symbol;Acc:MGI:1345635]	0.490225016737931	8.37302531747892	7.11885371008002	0.0000623913997439989	0.0200496999696443	2.22021603402374
ENSMUSG00000021403	ENSMUSG00000021403	Serpinb9b	13	33211399	33225867	+	3351	protein_coding	serine (or cysteine) peptidase inhibitor, clade B, member 9b [Source:MGI Symbol;Acc:MGI:894668]	-0.692696510996566	5.02158297633647	-7.08438905124952	0.0000647378726465249	0.0200496999696443	2.2224234000179
ENSMUSG00000026864	ENSMUSG00000026864	Hspa5	2	34661982	34667559	+	4229	protein_coding	heat shock protein 5 [Source:MGI Symbol;Acc:MGI:95835]	0.457233491130084	11.978586438359	7.01624610919957	0.0000696672526018786	0.0203776713860495	2.06339617508909
ENSMUSG00000026604	ENSMUSG00000026604	Ptpn14	1	189460465	189608892	+	13413	protein_coding	protein tyrosine phosphatase, non-receptor type 14 [Source:MGI Symbol;Acc:MGI:102467]	-0.521428685587469	7.89646001669512	-6.82811049665	0.0000855461391124429	0.0222072470740121	1.91805502149499
ENSMUSG00000022010	ENSMUSG00000022010	Tsc22d1	14	76652401	76745205	+	8994	protein_coding	TSC22 domain family, member 1 [Source:MGI Symbol;Acc:MGI:109127]	-0.432652503105349	8.44395680038682	-6.77804285438152	0.0000904124285427398	0.0222072470740121	1.8405289019467
ENSMUSG00000029822	ENSMUSG00000029822	Osbpl3	6	50270310	50433181	-	9021	protein_coding	oxysterol binding protein-like 3 [Source:MGI Symbol;Acc:MGI:1918970]	-0.734035439311444	5.28414317266819	-6.71914052971066	0.0000965290198905118	0.0222072470740121	1.83265693558349
ENSMUSG00000061024	ENSMUSG00000061024	Rrs1	1	9615633	9617680	+	2048	protein_coding	ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]	0.542496418937174	6.43542561611944	6.6260087487931	0.000107144630202117	0.0222072470740121	1.74613374274838
ENSMUSG00000020471	ENSMUSG00000020471	Pold2	11	5822180	5828292	-	1896	protein_coding	polymerase (DNA directed), delta 2, regulatory subunit [Source:MGI Symbol;Acc:MGI:1097163]	0.680948893663201	5.54170821409762	6.61919716280082	0.000107969740462167	0.0222072470740121	1.74503481715447
ENSMUSG00000021388	ENSMUSG00000021388	Aspn	13	49697919	49721041	+	2354	protein_coding	asporin [Source:MGI Symbol;Acc:MGI:1913945]	1.18038444414537	5.16071980117853	6.59841975467604	0.000110529814367817	0.0222072470740121	1.6949662769043
ENSMUSG00000032243	ENSMUSG00000032243	Itga11	9	62585108	62691264	+	5131	protein_coding	integrin alpha 11 [Source:MGI Symbol;Acc:MGI:2442114]	0.467368956447417	7.82193435658836	6.57930116399328	0.000112944240166108	0.0222072470740121	1.63728480682028
ENSMUSG00000023067	ENSMUSG00000023067	Cdkn1a	17	29309950	29319701	+	3553	protein_coding	cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556]	-0.666166443323301	6.82577084689614	-6.57806131280344	0.000113102796796	0.0222072470740121	1.68520980901487
ENSMUSG00000035373	ENSMUSG00000035373	Ccl7	11	81936538	81938351	+	801	protein_coding	chemokine (C-C motif) ligand 7 [Source:MGI Symbol;Acc:MGI:99512]	-0.565018801456893	7.90622343402355	-6.57198552178805	0.000113883318328267	0.0222072470740121	1.62886496395595
ENSMUSG00000090150	ENSMUSG00000090150	Acad11	9	103940576	104004924	+	9798	protein_coding	acyl-Coenzyme A dehydrogenase family, member 11 [Source:MGI Symbol;Acc:MGI:2143169]	-0.78084464196097	4.80819959116577	-6.47339891412812	0.000127407215970574	0.0239571068601812	1.54540841765875
ENSMUSG00000054766	ENSMUSG00000054766	Set	2	29947390	29962589	+	4070	protein_coding	SET nuclear oncogene [Source:MGI Symbol;Acc:MGI:1860267]	0.480803512360343	9.22995880585031	6.3795553573371	0.000141925640819693	0.0249290515101206	1.35889550350446
ENSMUSG00000028860	ENSMUSG00000028860	Sytl1	4	132980401	132990424	-	2518	protein_coding	synaptotagmin-like 1 [Source:MGI Symbol;Acc:MGI:1933365]	-1.24316868562054	1.58277001821725	-6.3568227918093	0.000145708422884181	0.0249290515101206	0.862092305068345
ENSMUSG00000020889	ENSMUSG00000020889	Nr1d1	11	98658758	98666159	-	3077	protein_coding	nuclear receptor subfamily 1, group D, member 1 [Source:MGI Symbol;Acc:MGI:2444210]	0.705242853761446	6.55364058869044	6.31896504025531	0.000152254826089566	0.0249290515101206	1.39580183257121
ENSMUSG00000029661	ENSMUSG00000029661	Col1a2	6	4504814	4541544	+	12426	protein_coding	collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]	0.441961318713498	13.610824149478	6.29187164117762	0.000157136866064357	0.0249290515101206	1.21597116202813
ENSMUSG00000029580	ENSMUSG00000029580	Actb	5	142888870	142892509	-	2679	protein_coding	actin, beta [Source:MGI Symbol;Acc:MGI:87904]	0.458151276019399	12.2840278314094	6.23968206275129	0.00016702989109615	0.0249290515101206	1.15741016652834
ENSMUSG00000042406	ENSMUSG00000042406	Atf4	15	80139385	80141742	+	2358	protein_coding	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	0.425006533509712	8.95001908199196	6.22866050610149	0.000169204915391357	0.0249290515101206	1.18380877286662
ENSMUSG00000028645	ENSMUSG00000028645	Slc2a1	4	118965908	118995180	+	3506	protein_coding	solute carrier family 2 (facilitated glucose transporter), member 1 [Source:MGI Symbol;Acc:MGI:95755]	0.439977568055736	7.38058087015626	6.21548436981811	0.000171845787848377	0.0249290515101206	1.23150335410252
ENSMUSG00000022893	ENSMUSG00000022893	Adamts1	16	85590715	85600001	-	5302	protein_coding	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 [Source:MGI Symbol;Acc:MGI:109249]	0.697477722870042	8.02053789928044	6.20964224815462	0.000173031081138036	0.0249290515101206	1.19462342823566
ENSMUSG00000015850	ENSMUSG00000015850	Adamtsl4	3	95583511	95595228	-	4198	protein_coding	ADAMTS-like 4 [Source:MGI Symbol;Acc:MGI:2389008]	-0.85789910688106	4.13874176466195	-6.1991130596609	0.000175189915645672	0.0249290515101206	1.17777018554412
ENSMUSG00000046056	ENSMUSG00000046056	Sbsn	7	30450896	30455559	+	3625	protein_coding	suprabasin [Source:MGI Symbol;Acc:MGI:2446326]	-0.704149051023771	4.94818373235581	-6.16630255835738	0.000182107849526039	0.0250595023600919	1.23442031482201
ENSMUSG00000038065	ENSMUSG00000038065	Mturn	6	54658609	54680836	+	5695	protein_coding	maturin, neural progenitor differentiation regulator homolog (Xenopus) [Source:MGI Symbol;Acc:MGI:1915485]	-0.696840261385605	4.79124212960763	-6.15013460253113	0.000185625943408088	0.0250595023600919	1.20816527020215
ENSMUSG00000021493	ENSMUSG00000021493	Pdlim7	13	55643608	55661489	-	4849	protein_coding	PDZ and LIM domain 7 [Source:MGI Symbol;Acc:MGI:1914649]	0.42860241543708	7.78130196281293	6.12041030632214	0.000192288885898192	0.0251474762006189	1.09700280345735
ENSMUSG00000004371	ENSMUSG00000004371	Il11	7	4775372	4785858	-	2081	protein_coding	interleukin 11 [Source:MGI Symbol;Acc:MGI:107613]	-0.803834133468465	3.90840956852839	-6.10506543259602	0.000195830298998172	0.0251474762006189	1.17080572597389
ENSMUSG00000030189	ENSMUSG00000030189	Ybx3	6	131341818	131365439	-	3075	protein_coding	Y box protein 3 [Source:MGI Symbol;Acc:MGI:2137670]	0.433271124885226	8.80477661297942	6.05944142896918	0.000206786676401885	0.0259166305636339	0.979989827918126
ENSMUSG00000025403	ENSMUSG00000025403	Shmt2	10	127352992	127358313	-	3109	protein_coding	serine hydroxymethyltransferase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1277989]	0.425387222555935	8.29043772490724	6.02791796646319	0.000214746645094229	0.0259166305636339	0.963258632748174
ENSMUSG00000025969	ENSMUSG00000025969	Nrp2	1	62742444	62857854	+	11842	protein_coding	neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]	0.450996574056489	7.93894595449648	6.02081007690282	0.000216587225982885	0.0259166305636339	0.973507074490373
ENSMUSG00000038214	ENSMUSG00000038214	Bend3	10	43354827	43391392	+	6819	protein_coding	BEN domain containing 3 [Source:MGI Symbol;Acc:MGI:2677212]	0.679494430712863	5.05563120718975	5.94627752449129	0.000236957432772446	0.0265732264162611	0.992363117673184
ENSMUSG00000025220	ENSMUSG00000025220	Oga	19	45738698	45772276	-	8592	protein_coding	O-GlcNAcase [Source:MGI Symbol;Acc:MGI:1932139]	-0.479206785777907	7.45045200373401	-5.94495352777105	0.000237337655831094	0.0265732264162611	0.897182827840388
ENSMUSG00000029304	ENSMUSG00000029304	Spp1	5	104582984	104588916	+	1648	protein_coding	secreted phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:98389]	0.47730371898279	9.82040399098956	5.92735607826904	0.000242454883737798	0.0265732264162611	0.79228746893464
ENSMUSG00000040152	ENSMUSG00000040152	Thbs1	2	117942357	117957614	+	6073	protein_coding	thrombospondin 1 [Source:MGI Symbol;Acc:MGI:98737]	0.37555228069081	13.6167534019474	5.91184134750875	0.000247066250424253	0.0265732264162611	0.747546925112872
ENSMUSG00000041889	ENSMUSG00000041889	Shisa4	1	135298795	135302975	-	2418	protein_coding	shisa family member 4 [Source:MGI Symbol;Acc:MGI:1924802]	-0.885997503572766	4.59615776458215	-5.90538035912642	0.000249014717578865	0.0265732264162611	0.932273498043628
ENSMUSG00000023951	ENSMUSG00000023951	Vegfa	17	46327919	46343295	-	4285	protein_coding	vascular endothelial growth factor A [Source:MGI Symbol;Acc:MGI:103178]	0.366485992202798	8.74242717285686	5.89442370077368	0.000252357325890419	0.0265732264162611	0.778771148853124
ENSMUSG00000054855	ENSMUSG00000054855	Rnd1	15	98561302	98575342	-	2967	protein_coding	Rho family GTPase 1 [Source:MGI Symbol;Acc:MGI:2444878]	-0.543611597550573	5.76046532320786	-5.82531704704442	0.0002745994640405	0.0279444704927319	0.844730424560042
ENSMUSG00000008393	ENSMUSG00000008393	Carhsp1	16	8476444	8490019	-	2858	protein_coding	calcium regulated heat stable protein 1 [Source:MGI Symbol;Acc:MGI:1196368]	-0.399427291324303	7.93572674794534	-5.81026212987197	0.000279722764115826	0.0279444704927319	0.703755602205042
ENSMUSG00000038418	ENSMUSG00000038418	Egr1	18	34992876	34998037	+	4484	protein_coding	early growth response 1 [Source:MGI Symbol;Acc:MGI:95295]	0.673941268623864	7.39917427927305	5.80568091014646	0.000281302362035098	0.0279444704927319	0.73207702995857
ENSMUSG00000071172	ENSMUSG00000071172	Srsf3	17	29251602	29262347	+	7899	protein_coding	serine and arginine-rich splicing factor 3 [Source:MGI Symbol;Acc:MGI:98285]	0.369843096543107	8.79777369071743	5.76175293944845	0.000296951188041178	0.0285408435927003	0.607105188330983
ENSMUSG00000030678	ENSMUSG00000030678	Maz	7	126621302	126626209	-	2976	protein_coding	MYC-associated zinc finger protein (purine-binding transcription factor) [Source:MGI Symbol;Acc:MGI:1338823]	0.486354732359044	7.32220872749884	5.75849905334086	0.000298147463931342	0.0285408435927003	0.67426253999546
ENSMUSG00000020692	ENSMUSG00000020692	Nle1	11	82791594	82799237	-	3233	protein_coding	notchless homolog 1 [Source:MGI Symbol;Acc:MGI:2429770]	0.772884685402111	4.42190118955268	5.72361116369546	0.000311308502904427	0.0290784929624564	0.699328327287868
ENSMUSG00000034120	ENSMUSG00000034120	Srsf2	11	116740727	116743920	-	2958	protein_coding	serine and arginine-rich splicing factor 2 [Source:MGI Symbol;Acc:MGI:98284]	0.378780261175116	7.92204019209933	5.70965863863534	0.00031674768117307	0.0290784929624564	0.577113591168509
ENSMUSG00000038271	ENSMUSG00000038271	Iffo1	6	125122204	125138745	+	5691	protein_coding	intermediate filament family orphan 1 [Source:MGI Symbol;Acc:MGI:2444516]	-0.664055160646486	5.04631364744097	-5.70060366494221	0.000320332875939691	0.0290784929624564	0.708541232859055
ENSMUSG00000022425	ENSMUSG00000022425	Enpp2	15	54702297	54816288	-	5779	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1321390]	-1.47554174185402	0.940001138257142	-5.64959917612296	0.00034136963544456	0.029994613366001	0.0759712599448514
ENSMUSG00000038365	ENSMUSG00000038365	Fbxo25	8	13957803	13990522	+	2977	protein_coding	F-box protein 25 [Source:MGI Symbol;Acc:MGI:1914072]	-0.576839018038347	5.58320182007088	-5.64791419151315	0.000342089757175575	0.029994613366001	0.639621281436283
ENSMUSG00000057143	ENSMUSG00000057143	Trim12c	7	103987961	104002569	-	3740	protein_coding	tripartite motif-containing 12C [Source:MGI Symbol;Acc:MGI:4821183]	-0.698828709186404	4.77341871690072	-5.63534034156849	0.000347515938333535	0.029994613366001	0.627514828472274
ENSMUSG00000028820	ENSMUSG00000028820	Sfpq	4	126915117	126930806	+	4743	protein_coding	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated) [Source:MGI Symbol;Acc:MGI:1918764]	0.380222601451885	8.84106550549079	5.60553094933989	0.000360757481346027	0.0306352925691424	0.405562795719484
ENSMUSG00000003849	ENSMUSG00000003849	Nqo1	8	108114857	108129838	-	1553	protein_coding	NAD(P)H dehydrogenase, quinone 1 [Source:MGI Symbol;Acc:MGI:103187]	-0.599736784224939	5.2106324436673	-5.59207603393103	0.000366912963300421	0.0306634405043923	0.581818419955242
ENSMUSG00000020766	ENSMUSG00000020766	Galk1	11	115899283	115903545	-	1406	protein_coding	galactokinase 1 [Source:MGI Symbol;Acc:MGI:95730]	0.614208793260654	5.99149478060967	5.53080563949595	0.00039642317634085	0.0326120003661653	0.471954412462364
ENSMUSG00000074280	ENSMUSG00000074280	Gm6166	9	57391246	57391654	+	409	processed_pseudogene	predicted gene 6166 [Source:MGI Symbol;Acc:MGI:3645893]	0.499914201144792	5.95647585487587	5.48584664926626	0.000419714432131551	0.0338465020100604	0.421467444938043
ENSMUSG00000035274	ENSMUSG00000035274	Tpbg	9	85724433	85729093	+	3828	protein_coding	trophoblast glycoprotein [Source:MGI Symbol;Acc:MGI:1341264]	0.443530303870104	6.53207044665963	5.45695060419694	0.000435465927301534	0.0338465020100604	0.34299603099046
ENSMUSG00000024620	ENSMUSG00000024620	Pdgfrb	18	61178222	61218133	+	5478	protein_coding	platelet derived growth factor receptor, beta polypeptide [Source:MGI Symbol;Acc:MGI:97531]	0.366954223123539	9.0210473343756	5.45429934774114	0.000436942962767919	0.0338465020100604	0.201411742860328
ENSMUSG00000025203	ENSMUSG00000025203	Scd2	19	44282113	44295303	+	5464	protein_coding	stearoyl-Coenzyme A desaturase 2 [Source:MGI Symbol;Acc:MGI:98240]	0.380711849970099	10.6358442131673	5.45393958906902	0.000437143805638008	0.0338465020100604	0.169291345762893
ENSMUSG00000005124	ENSMUSG00000005124	Ccn4	15	66763169	66795050	+	5565	protein_coding	cellular communication network factor 4 [Source:MGI Symbol;Acc:MGI:1197008]	0.516103269915735	8.83346751281281	5.38735379649016	0.000476100007558649	0.0363285005767578	0.11923554107046
ENSMUSG00000024601	ENSMUSG00000024601	Isoc1	18	58792538	58813440	+	3377	protein_coding	isochorismatase domain containing 1 [Source:MGI Symbol;Acc:MGI:1913557]	0.484329412417102	6.37233240294551	5.36547328189654	0.000489710682447466	0.0365764888138077	0.235194100219888
ENSMUSG00000015243	ENSMUSG00000015243	Abca1	4	53030787	53159895	-	10363	protein_coding	ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]	-0.509957515404354	5.85975003702601	-5.34705491815606	0.000501494984215865	0.0365764888138077	0.250901915117814
ENSMUSG00000062825	ENSMUSG00000062825	Actg1	11	120236516	120239368	-	2658	protein_coding	actin, gamma, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:87906]	0.492281098678781	11.4788216400165	5.34496545203724	0.000502851146279382	0.0365764888138077	0.0164305986491655
ENSMUSG00000053080	ENSMUSG00000053080	Zfta	19	7394990	7403269	+	7032	protein_coding	zinc finger translocation associated [Source:MGI Symbol;Acc:MGI:1919667]	0.498758918097645	5.99554783861653	5.33748955244921	0.000507736011062986	0.0365764888138077	0.227409428298654
ENSMUSG00000022945	ENSMUSG00000022945	Chaf1b	16	93680789	93703003	+	4681	protein_coding	chromatin assembly factor 1, subunit B (p60) [Source:MGI Symbol;Acc:MGI:1314881]	0.580319706653108	5.20930998858694	5.31771032173655	0.000520909868008974	0.0365764888138077	0.247566716518641
ENSMUSG00000028527	ENSMUSG00000028527	Ak4	4	101276474	101324192	+	4646	protein_coding	adenylate kinase 4 [Source:MGI Symbol;Acc:MGI:87979]	0.53159442500845	6.14556196360489	5.31495863500385	0.000522771779596564	0.0365764888138077	0.188824707492522
ENSMUSG00000021054	ENSMUSG00000021054	Sgpp1	12	75761023	75782503	-	5649	protein_coding	sphingosine-1-phosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:2135760]	0.413193191829629	6.69369955428807	5.30153997330638	0.000531955359222684	0.0365764888138077	0.131711029864316
ENSMUSG00000032252	ENSMUSG00000032252	Glce	9	61964530	62029937	-	6828	protein_coding	glucuronyl C5-epimerase [Source:MGI Symbol;Acc:MGI:2136405]	0.352435372962252	7.87357968201669	5.29725190336298	0.00053492680696357	0.0365764888138077	0.0422132559926522
ENSMUSG00000018379	ENSMUSG00000018379	Srsf1	11	87938199	87944581	+	5710	protein_coding	serine and arginine-rich splicing factor 1 [Source:MGI Symbol;Acc:MGI:98283]	0.326228094778277	8.87214791532077	5.2740157291995	0.00055134439378925	0.0372157465807744	-0.0334184376692672
ENSMUSG00000017119	ENSMUSG00000017119	Nbr1	11	101442975	101472777	+	6871	protein_coding	NBR1, autophagy cargo receptor [Source:MGI Symbol;Acc:MGI:108498]	-0.372861212517101	7.87335112422096	-5.26207589743309	0.000559992141336709	0.0373209952422503	-0.00628801142277613
ENSMUSG00000022883	ENSMUSG00000022883	Robo1	16	72105194	72842983	+	16511	protein_coding	roundabout guidance receptor 1 [Source:MGI Symbol;Acc:MGI:1274781]	-0.650591987198407	4.11577791014331	-5.2342332725998	0.000580734036848735	0.0376984451368744	0.147250606781209
ENSMUSG00000041057	ENSMUSG00000041057	Wdr43	17	71922890	71966026	+	4775	protein_coding	WD repeat domain 43 [Source:MGI Symbol;Acc:MGI:1919765]	0.384219705063644	7.76992116533976	5.23108097760697	0.000583134329292535	0.0376984451368744	-0.0372162108011169
ENSMUSG00000028224	ENSMUSG00000028224	Nbn	4	15957925	15992589	+	2533	protein_coding	nibrin [Source:MGI Symbol;Acc:MGI:1351625]	0.520299931399182	5.59853981484284	5.21705151598364	0.000593948020672607	0.0376984451368744	0.101628538172193
ENSMUSG00000028333	ENSMUSG00000028333	Anp32b	4	46450902	46472657	+	1716	protein_coding	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:MGI Symbol;Acc:MGI:1914878]	0.4799140964828	8.98055611514163	5.21660404743398	0.000594296476041894	0.0376984451368744	-0.114040369396713
ENSMUSG00000032803	ENSMUSG00000032803	Cdv3	9	103230293	103243039	-	7403	protein_coding	carnitine deficiency-associated gene expressed in ventricle 3 [Source:MGI Symbol;Acc:MGI:2448759]	0.342570282470398	8.78434005691377	5.18211020866845	0.000621835508594432	0.0389367819669536	-0.157724262688252
ENSMUSG00000064373	ENSMUSG00000064373	Selenop	15	3298029	3309990	+	2842	protein_coding	selenoprotein P [Source:MGI Symbol;Acc:MGI:894288]	-0.671498716906839	5.14449237688411	-5.17387928169397	0.000628609015610838	0.0389367819669536	0.0676339112385467
ENSMUSG00000029413	ENSMUSG00000029413	Naaa	5	92405518	92426029	-	3721	protein_coding	N-acylethanolamine acid amidase [Source:MGI Symbol;Acc:MGI:1914361]	-0.469657872810439	5.96526703810359	-5.15726775364113	0.000642523636177821	0.0393089854780876	-0.00459548232313356
ENSMUSG00000000568	ENSMUSG00000000568	Hnrnpd	5	100103794	100126797	-	7354	protein_coding	heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]	0.354588393172688	7.92608968780952	5.14902661241051	0.000649550187387203	0.0393089854780876	-0.161048739140047
ENSMUSG00000022462	ENSMUSG00000022462	Slc38a2	15	96585273	96597611	-	8838	protein_coding	solute carrier family 38, member 2 [Source:MGI Symbol;Acc:MGI:1915010]	0.399154972730034	9.76236879454324	5.12755725951228	0.000668248748033789	0.039357512736053	-0.258540776506759
ENSMUSG00000034667	ENSMUSG00000034667	Xpot	10	121423285	121462237	-	6033	protein_coding	exportin, tRNA (nuclear export receptor for tRNAs) [Source:MGI Symbol;Acc:MGI:1920442]	0.3277784560018	8.64863618435511	5.09703332941919	0.000695842672644221	0.039357512736053	-0.265363931920294
ENSMUSG00000051950	ENSMUSG00000051950	B3glct	5	149601695	149686064	+	4798	protein_coding	beta-3-glucosyltransferase [Source:MGI Symbol;Acc:MGI:2685903]	0.505338396723844	5.34784179753653	5.07697805532638	0.000714642127422554	0.039357512736053	-0.0664946254087271
ENSMUSG00000006356	ENSMUSG00000006356	Crip2	12	113103856	113109126	+	2099	protein_coding	cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]	-0.65957321489445	5.14162883664432	-5.07463647510985	0.000716872630837408	0.039357512736053	-0.088755113959393
ENSMUSG00000022858	ENSMUSG00000022858	Tra2b	16	22063299	22084755	-	9235	protein_coding	transformer 2 beta [Source:MGI Symbol;Acc:MGI:106016]	0.345757241610703	7.85834849498675	5.07370225765894	0.000717764631320051	0.039357512736053	-0.260084708541452
ENSMUSG00000014496	ENSMUSG00000014496	Ankrd28	14	31420725	31552608	-	12233	protein_coding	ankyrin repeat domain 28 [Source:MGI Symbol;Acc:MGI:2145661]	-0.372117739697771	7.8983421322808	-5.06983107472808	0.00072147368398663	0.039357512736053	-0.266981047392326
ENSMUSG00000024726	ENSMUSG00000024726	Carnmt1	19	18648128	18684564	+	4807	protein_coding	carnosine N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1914633]	0.560973499390303	5.01631676001575	5.06958599153664	0.000721709199107237	0.039357512736053	-0.0605309472931799
ENSMUSG00000029093	ENSMUSG00000029093	Sorcs2	5	36174524	36555483	-	8802	protein_coding	sortilin-related VPS10 domain containing receptor 2 [Source:MGI Symbol;Acc:MGI:1932289]	0.830288757111975	3.01437227836651	5.05974771163379	0.000731232357390314	0.039357512736053	-0.109806126097386
ENSMUSG00000021913	ENSMUSG00000021913	Ogdhl	14	32043976	32070108	+	4148	protein_coding	oxoglutarate dehydrogenase-like [Source:MGI Symbol;Acc:MGI:3616088]	-0.819719279742146	3.83869605759829	-5.05166906468068	0.000739153811928181	0.039357512736053	-0.0909157790734927
ENSMUSG00000030057	ENSMUSG00000030057	Cnbp	6	87819597	87828088	-	3036	protein_coding	cellular nucleic acid binding protein [Source:MGI Symbol;Acc:MGI:88431]	0.309450560027815	9.24565737642836	5.04152662072283	0.00074923046507866	0.039357512736053	-0.365622488259546
